"","caseid","tea_supp","defsppr_self","spsrvpr_ssself","guarpr_self","immig_checks","wiretap","gun_control","aidblack_self","libcpre_self","white","dem_edu","tea_supp.1","fox","gender_respondent_x","dem_age_r_x","inc_incgroup_pre","Obama","Auth","bornagain","church","republican","trad_adjust","trad_lifestyle","trad_tolerant","trad_famval"
"1",1,1,NA,5,NA,3,NA,3,7,1,"Non-white",3,1,"Watches Fox","2. female",86,2,100,NA,"1. yes","1. yes",1,NA,NA,NA,NA
"2",2,0,1,5,7,2,1,3,NA,1,"Non-white",4,0,"Watches Fox","1. male",79,NA,100,0.75,"2. no","2. no",1,1,1,1,2
"3",3,0,NA,6,6,3,2,2,NA,NA,"Non-white",10,0,"Watches Fox","2. female",72,3,100,0.75,"1. yes","1. yes",1,2,2,1,5
"4",4,0,NA,NA,4,2,1,2,7,NA,"Non-white",10,0,"Does not watch Fox","2. female",54,2,100,NA,"1. yes","1. yes",1,5,5,2,5
"5",5,0,4,5,5,3,2,2,7,2,"Non-white",9,0,"Does not watch Fox","1. male",35,13,100,0.75,NA,"2. no",3,1,2,2,2
"6",6,NA,NA,NA,NA,NA,2,NA,NA,NA,"Non-white",4,NA,"Does not watch Fox","1. male",80,2,100,0.25,NA,"2. no",4,3,3,3,3
"7",7,0,NA,NA,4,3,1,2,NA,NA,"Non-white",7,0,NA,"2. female",50,1,100,1,"2. no","1. yes",1,4,3,1,5
"8",8,1,NA,NA,NA,3,2,2,6,NA,"Non-white",7,1,"Watches Fox","2. female",70,1,100,1,"2. no","1. yes",3,5,3,1,2
"9",9,0,4,4,5,3,2,3,4,4,"Non-white",13,0,"Does not watch Fox","2. female",22,NA,85,NA,NA,"1. yes",1,2,5,2,4
"10",10,1,4,3,3,3,1,2,2,6,"White",16,1,"Watches Fox","1. male",49,9,40,NA,"2. no","1. yes",6,4,4,2,4
"11",11,0,3,3,2,3,2,3,2,4,"White",13,0,"Does not watch Fox","1. male",NA,27,40,0,"2. no","1. yes",5,5,4,3,4
"12",12,0,5,3,3,1,2,2,2,5,"White",14,0,"Does not watch Fox","1. male",47,27,40,0.75,"2. no","2. no",5,4,4,2,2
"13",13,0,5,4,2,2,2,3,1,3,"White",10,0,"Watches Fox","2. female",64,24,60,0.5,"1. yes","1. yes",2,5,4,3,5
"14",14,0,NA,NA,4,1,NA,3,2,4,"White",10,0,"Does not watch Fox","2. female",56,15,30,0.75,"1. yes","1. yes",4,2,4,2,5
"15",15,1,5,1,1,3,2,2,1,6,"White",13,1,"Does not watch Fox","2. female",59,25,15,0.5,"2. no","1. yes",7,5,5,2,5
"16",16,1,5,3,1,3,NA,2,1,6,"White",14,1,"Watches Fox","1. male",61,NA,0,NA,NA,"2. no",6,4,NA,3,4
"17",17,1,5,1,1,3,1,2,1,6,"White",14,1,"Watches Fox","1. male",51,26,0,0.25,"1. yes","1. yes",6,5,5,4,5
"18",18,0,NA,NA,NA,1,1,2,NA,NA,"White",9,0,"Does not watch Fox","2. female",61,7,85,1,"2. no","1. yes",1,4,4,1,5
"19",19,0,4,NA,NA,3,2,3,3,NA,"White",7,0,"Does not watch Fox","2. female",34,NA,60,NA,"1. yes","1. yes",6,2,3,2,4
"20",20,0,NA,NA,NA,1,2,2,7,3,"Non-white",7,0,"Does not watch Fox","2. female",48,7,100,NA,"1. yes","2. no",3,1,4,1,5
"21",21,1,4,3,3,2,1,1,4,6,"White",10,1,"Watches Fox","1. male",25,9,40,0.5,NA,"2. no",7,4,1,1,3
"22",22,0,NA,NA,NA,1,1,2,4,NA,"White",9,0,NA,"2. female",34,1,0,0.5,"2. no","1. yes",3,1,4,3,3
"23",23,NA,5,3,NA,3,2,2,5,3,"White",9,NA,"Does not watch Fox","1. male",29,11,40,NA,"1. yes","1. yes",2,3,4,3,5
"24",24,NA,6,NA,NA,1,NA,2,NA,NA,"White",4,NA,"Watches Fox","2. female",85,2,70,NA,"1. yes","1. yes",1,NA,NA,NA,NA
"25",25,0,4,3,3,NA,2,2,4,5,"White",3,0,"Does not watch Fox","1. male",77,13,60,1,"1. yes","1. yes",4,5,5,4,5
"26",26,0,5,NA,4,3,NA,2,3,4,"White",10,0,"Watches Fox","1. male",51,NA,50,NA,"2. no","1. yes",2,NA,NA,NA,NA
"27",27,1,4,2,NA,2,2,2,NA,6,"White",10,1,"Watches Fox","1. male",53,9,40,1,"2. no","1. yes",5,5,5,5,5
"28",28,1,4,1,2,3,2,3,4,5,"White",10,1,"Watches Fox","2. female",83,NA,15,NA,"2. no","1. yes",7,3,5,1,5
"29",29,0,4,NA,2,2,1,2,2,NA,"White",7,0,"Does not watch Fox","1. male",56,14,50,NA,"2. no","2. no",4,2,4,3,4
"30",30,0,3,5,4,3,1,2,5,5,"White",10,0,NA,"1. male",53,3,70,0.25,NA,"2. no",3,1,3,2,3
